Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.3818,Mon Aug 06 00:02:58 +0000 2018,0.894,0.0,0.106,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…,166
0.5093,Mon Aug 06 00:02:02 +0000 2018,0.845,0.0,0.155,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8,167
0.0,Sun Aug 05 23:58:41 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",168
0.8316,Sun Aug 05 23:44:39 +0000 2018,0.694,0.0,0.306,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",169
0.0,Sun Aug 05 23:41:21 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",170
0.5994,Sun Aug 05 23:35:49 +0000 2018,0.843,0.0,0.157,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MagnumPICBS: ""This has been my white whale since I was a kid. I always loved #MagnumPI. Putting words in Magnum's mouth is something I'…",171
0.0,Sun Aug 05 23:35:46 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @MagnumPICBS: It's #MagnumPI time at the #CBS #TCA2018! Follow along as we live tweet the panel!,172
0.5826,Sun Aug 05 23:16:25 +0000 2018,0.827,0.0,0.173,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @happytogether: Thanks for following along! That concludes the #HappyTogether panel at the #CBS #TCA2018! @MagnumPICBS is up next!,173
-0.5093,Sun Aug 05 23:12:39 +0000 2018,0.798,0.202,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @happytogether: Question: Even though you're not playing @Harry_Styles, did you do a Harry crash course?
@itsfelixwot: Absolutely not. C…",174
0.0,Sun Aug 05 23:10:20 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @happytogether: ""The show is about marriage, it's about getting a bit older, it's about youthfulness, it's about something happening and…",175
